"Spotify ID","Winner Name","Loser MBID","Loser Name",Similarity
5928hF4c1MriHfAgpFf8ya,"Randy Edelman",961f31f2-31bf-4469-bc66-f6a2fda12db5,"Trevor Jones",24
5928hF4c1MriHfAgpFf8ya,"Randy Edelman",961f31f2-31bf-4469-bc66-f6a2fda12db5,"Trevor Jones",24
38CEXk1DhOZYRJ59mccCh0,"Phil Guy",eb9c7f54-740b-48bf-9b5e-e727e682b727,"Lurrie Bell",21.052631578947
0JuJ3yRwo56TUIHR6W6Dzk,真田アサミ,45a40e25-22a7-469f-9803-6dabaad57e0f,氷上恭子,7.4074074074074
0ADS8B9CUYtbFLvjT99Ktw,"Alex Gopher",f87c1cc2-7c23-45db-a168-33236613a5c2,"The Glass",30
7gSgEnqRvscACqcXpQbYbg,"Darren Clarke",8c183ecb-53b4-4a8c-888c-c9a9aa90b459,"Jessie Lane",41.666666666667
11PYyk3kBXjDIFHiCc0psS,"Scared of Horses",c3cc0ad7-445f-43f6-907b-e319fd84e965,"Paul Dempsey",28.571428571429
3Ezdddx6OeiOX7xLtfG48W,G//Z/R,123814ce-f7f7-44c9-b84d-0088b1e230a4,"Geezer Butler",31.578947368421
6LfIVTnSSc9zNqjpfVPs1w,Brainpower,a7e00fe6-3625-4423-b2dd-d6d78d6eef88,"Gert-Jan Mulder",16
4sSSkVtrCTzENCgm2vokiY,"Roots Manuva",67a71fbe-1a41-4c6d-93ab-09c000ab4aa7,"Rodney Hylton Smith",25.806451612903
3TTbkikkCAbUg2j5i9UrTV,:wumpscut:,3d1c0b65-8650-4db6-a1c2-2da7ef5744bf,"Rudy Ratzinger",16.666666666667
3dg4JniGD2gaZj0IpEUbWZ,"Der Blutharsch",bef61ba9-111a-4dc0-8a06-6564a5df5fca,"Albin Julius",30.769230769231
36g2U19HPpLeY5FyrPhrfp,"DJ Shog",bf28e2d7-ba14-4578-afb9-e14f92153bad,"Sven Greiner",21.052631578947
3GKyfn5Iyo8i5TxoV9jPms,"DJ Misjah",62d83714-656e-4834-a8b6-202c70b047f4,"Mischa van der Heiden",33.333333333333
5tQitTBrogV6svf4o5h1eb,"Mischief Brew",8ab25309-35da-4112-8c69-3d20016a3e0a,"Joe Jack Talcum",7.1428571428571
7HiP69UJp8p2pKxnRaPqYF,Dhany,81bb25f4-8af2-453e-8f51-a855e36d0845,"Daniela Galli",33.333333333333
0IDYPwtcwGuMOn29dNLKlP,"Ann Lee",e2763ea0-bf71-4734-ba29-b22c0fa67688,"Annerley Gordon",45.454545454545
0JuJ3yRwo56TUIHR6W6Dzk,真田アサミ,8e7e370d-1f62-4017-bcf2-4a810bef7bf2,沢城みゆき,26.666666666667
0IbAMcETaTF4kI3q2St1xC,"Amadou & Mariam",1b5cc4ba-5ade-494e-bf3c-aaf3abf75b65,"Tunde Adebimpe",20.689655172414
7GyhmlEy51sGUE09A5AWzc,"Solar Fields",41480ab2-e15b-414e-b945-20cfcae417d6,"Magnus Birgersson",13.793103448276
0IbAMcETaTF4kI3q2St1xC,"Amadou & Mariam",c5fc36e7-3e55-4005-8c93-a09a67aad0d0,"Kyp Malone",24
1sa3cLzMIDqNJgkNqHrhKt,"Frank Bridge",9f1bc551-0a38-4ab8-900c-f8b3c2039e1e,"Hugh Wolff",9.0909090909091
6rarLiS3EtKoAyMgslaCub,"Hans Blum",440e04b2-02f0-44a0-ae33-6294c3681aaf,"Henry Valentino",25
6J9B80Nw4qDXsSzHAT2Ene,Feanor,35fb3383-5c56-4acf-99bd-a285e67e4521,Skiltron,14.285714285714
1IaU8ZKYYiWy4WSDR9lFNY,"Al Hudson and the Partners",366d00f4-532d-49f1-b25b-5f33f2510e3b,"Soul Partners",56.410256410256
1G6vOMAmvp8zog2GhG6avm,Հայկո,d207a9a6-9a10-489c-9043-79ec221b3ffd,Hayko,0
4KtyUYo9zaM9YggIVc7uxx,"Deutsch Amerikanische Freundschaft",28dad08a-2752-4e24-bacb-83e7565341c8,D.A.F.,15
5CjWCRipvUgO6tLs5MdWIM,Amberlife,340551d4-b567-417e-b964-878a7d9f6794,"Edgaras Lubys",18.181818181818
5lPsVvHVDr6R5mDxRUXdOs,A1,ea3d0476-d2ca-4775-bca7-cecf40a44f48,"A One Project",13.333333333333
76MNv5eL3yqPHcroQtLUiz,"Elizabeth Gaver",ed1b4f18-7847-4644-9ade-979c93e336c6,"Lena Susanne Norin",12.121212121212
71ej8AVMMEdx9MKQEvCrJS,Peak:Shift,593969c8-cdb2-4eb8-bd05-4991697827f3,"Simon Flower",9.0909090909091
3coXUO5EiwR37nzX4xWjIV,"Busy P",c0a2df15-289e-4dbc-a110-904b439bd36c,"Pedro Winter",11.111111111111
1QMzmipl3DI12Gs3bIhfPm,"DJ Manian",7681b0f8-2765-4a15-a305-cc20d9fc7448,"Manuel Reuter",27.272727272727
0SOiMVeTNSWUqXHlXAN8a2,天音,1cbfdacc-fa3a-4fe6-b8f4-1ee502c90b53,"Rolling Contact",0
3Ev83WpI5binmCKld1PT6s,"Pen of Chaos",24f023aa-f6cb-4aea-9206-606c378142a4,Naheulband,18.181818181818
3jk9foNqkKscI6FZ8vvuJz,"Billy Craven",a2fdc044-010f-4317-97d2-a1c67e978543,"Jeff Bhasker",16.666666666667
6EfddKVS6YVN4xotXWeczL,SD,a534449a-b8fe-4667-b712-0f960149fb4f,СД,0
04VoCQzRyRw8P2jo52hqja,"DJ Tim",07a49b39-20ba-4f6d-b185-138e943de86a,"Tim Hoogesteger",28.571428571429
68rvMwPL0yMbYR5cv0pzCR,إليسا,849d6047-a157-4418-9301-2379983a0fa3,Elissa,0
2F12oF9POUk0jRnD4VqJz3,平野綾,eb84cc2e-9e1e-42f7-8767-e8d79d9a7a34,泉こなた,9.5238095238095
0yHMChcLPoHlSBS9nQzD8t,山本リンダ,bc86fbd3-0ce1-4852-9949-83de6681326e,三原順子,7.4074074074074
5hgOjk7FGUwJvo1J3oDK9R,"Midnight Syndicate",729299cb-f6d1-4e96-8e3d-1f8a4b11ae7b,"Edward Douglas",18.75
4YL0EUk0cGKwJa9g3nkKTM,Koma,99972b5d-ce2a-4927-bcb8-d309662fc452,"Sidi Omar",46.153846153846
2lctQXsk5cRsQ9Tyqr8skf,田村哲也,46691fa6-6c71-4073-a998-24e951ed37e8,Remo-con,0
7vEd9uAqFgC4p4EOXiFuQL,Oceano,e9a583d6-754c-43d1-9462-0a73562bd717,Dim3nsion,26.666666666667
6LEeAFiJF8OuPx747e1wxR,"Lightspeed Champion",3d254f1e-7d18-431b-baeb-68e57695dfdb,"Blood Orange",32.258064516129
2ZGeKa4rkbqhr2DuW8q6OO,鍾玲玲,b49ee07d-aa67-40b7-8e2a-34fb322156ad,蕭芳芳,0
1sPuAjy8SuvfwXNVgt52jg,Emilia,301f2e4a-8e46-464f-9865-ab3a3b966951,"Jonnaemilia Kärkkäinen",40
2kGBy2WHvF0VdZyqiVCkDT,"Josh Tillman",172053e5-a7fb-4548-a64d-c53858b5e775,"Father John Misty",27.586206896552
13lPIA6TfK28D9nWZJ9HuB,"Tyler James",86af2477-4c91-405a-bbd7-516ab955ef03,Escondido,20
